country,date,unemployment
IT,1987-08,9.7
NL,1987-08,6.9
BE,1987-08,9.7
ES,1987-08,19.7
FR,1987-08,9.1
IT,1987-08,9.8
NL,1987-08,7.5
PT,1987-08,7.7
BE,1987-08,9.7
ES,1987-08,19.7
IT,1987-08,9.7
NL,1987-08,7.5
PT,1987-08,7.7
BE,1987-09,10.0
ES,1987-09,19.5
IT,1987-09,9.8
NL,1987-09,7.4
BE,1987-09,9.6
ES,1987-09,19.7
FR,1987-09,9.1
IT,1987-09,9.8
NL,1987-09,7.5
PT,1987-09,7.7
BE,1987-09,9.6
ES,1987-09,19.7
IT,1987-09,9.7
NL,1987-09,7.5
PT,1987-09,7.7
BE,1987-10,10.0
ES,1987-10,19.4
IT,1987-10,9.9
NL,1987-10,7.5
BE,1987-10,9.6
ES,1987-10,19.5
FR,1987-10,9.1
IT,1987-10,9.8
NL,1987-10,7.5
PT,1987-10,7.6
BE,1987-10,9.6
ES,1987-10,19.6
IT,1987-10,9.7
NL,1987-10,7.5
PT,1987-10,7.6
BE,1987-11,9.8
ES,1987-11,19.3
IT,1987-11,9.9
NL,1987-11,7.5
BE,1987-11,9.6
ES,1987-11,19.4
FR,1987-11,9.1
IT,1987-11,9.7
NL,1987-11,7.5
PT,1987-11,7.5
BE,1987-11,9.6
ES,1987-11,19.4
IT,1987-11,9.7
NL,1987-11,7.5
PT,1987-11,7.5
BE,1987-12,9.7
ES,1987-12,19.3
IT,1987-12,9.8
NL,1987-12,7.1
BE,1987-12,9.5
ES,1987-12,19.4
FR,1987-12,9.0
IT,1987-12,9.7
NL,1987-12,7.5
PT,1987-12,7.3
BE,1987-12,9.5
ES,1987-12,19.4
IT,1987-12,9.7
NL,1987-12,7.5
PT,1987-12,7.4
BE,1988-01,9.6
ES,1988-01,19.6
IT,1988-01,9.9
NL,1988-01,7.9
BE,1988-01,9.5
ES,1988-01,19.3
FR,1988-01,9.0
IT,1988-01,9.7
NL,1988-01,7.5
PT,1988-01,7.0
BE,1988-01,9.5
ES,1988-01,19.3
IT,1988-01,9.7
NL,1988-01,7.5
PT,1988-01,7.0
BE,1988-02,9.5
ES,1988-02,19.5
IT,1988-02,10.0
NL,1988-02,8.1
BE,1988-02,9.4
ES,1988-02,19.2
FR,1988-02,8.9
IT,1988-02,9.7
NL,1988-02,7.5
PT,1988-02,7.0
BE,1988-02,9.4
ES,1988-02,19.2
IT,1988-02,9.7
NL,1988-02,7.5
PT,1988-02,7.0
BE,1988-03,9.1
ES,1988-03,19.4
IT,1988-03,9.8
NL,1988-03,8.1
BE,1988-03,9.3
ES,1988-03,19.1
FR,1988-03,8.8
IT,1988-03,9.7
NL,1988-03,7.5
PT,1988-03,7.0
BE,1988-03,9.3
ES,1988-03,19.1
IT,1988-03,9.7
NL,1988-03,7.5
PT,1988-03,7.0
BE,1988-04,8.8
ES,1988-04,19.3
IT,1988-04,9.6
NL,1988-04,7.6
BE,1988-04,9.2
ES,1988-04,19.1
FR,1988-04,8.9
IT,1988-04,9.7
NL,1988-04,7.4
PT,1988-04,7.1
BE,1988-04,9.2
ES,1988-04,19.1
IT,1988-04,9.6
NL,1988-04,7.4
PT,1988-04,7.1
BE,1988-05,8.6
ES,1988-05,19.1
IT,1988-05,9.5
NL,1988-05,7.4
BE,1988-05,9.1
ES,1988-05,19.1
FR,1988-05,8.8
IT,1988-05,9.6
NL,1988-05,7.4
PT,1988-05,7.0
BE,1988-05,9.1
ES,1988-05,19.1
IT,1988-05,9.6
NL,1988-05,7.4
PT,1988-05,7.0
BE,1988-06,8.3
ES,1988-06,18.9
IT,1988-06,9.5
NL,1988-06,7.5
BE,1988-06,8.9
ES,1988-06,19.0
FR,1988-06,8.8
IT,1988-06,9.6
NL,1988-06,7.4
PT,1988-06,6.7
BE,1988-06,8.9
ES,1988-06,19.0
IT,1988-06,9.6
NL,1988-06,7.4
PT,1988-06,6.7
BE,1988-07,8.6
ES,1988-07,18.7
IT,1988-07,9.4
NL,1988-07,6.7
BE,1988-07,8.8
ES,1988-07,18.9
FR,1988-07,8.8
IT,1988-07,9.6
NL,1988-07,7.4
PT,1988-07,6.4
BE,1988-07,8.8
ES,1988-07,18.9
IT,1988-07,9.7
NL,1988-07,7.4
PT,1988-07,6.4
BE,1988-08,9.0
ES,1988-08,18.4
IT,1988-08,9.5
NL,1988-08,6.8
BE,1988-08,8.7
ES,1988-08,18.7
FR,1988-08,8.8
IT,1988-08,9.6
NL,1988-08,7.3
PT,1988-08,6.3
BE,1988-08,8.7
ES,1988-08,18.7
IT,1988-08,9.7
NL,1988-08,7.3
PT,1988-08,6.3
BE,1988-09,8.9
ES,1988-09,18.2
IT,1988-09,9.5
NL,1988-09,7.2
BE,1988-09,8.5
ES,1988-09,18.4
FR,1988-09,8.8
IT,1988-09,9.6
NL,1988-09,7.3
PT,1988-09,6.3
BE,1988-09,8.5
ES,1988-09,18.4
IT,1988-09,9.6
NL,1988-09,7.3
PT,1988-09,6.3
BE,1988-10,8.6
ES,1988-10,17.9
IT,1988-10,9.8
NL,1988-10,7.3
BE,1988-10,8.3
ES,1988-10,18.0
FR,1988-10,8.9
IT,1988-10,9.8
NL,1988-10,7.2
PT,1988-10,6.4
BE,1988-10,8.3
ES,1988-10,18.0
IT,1988-10,9.8
NL,1988-10,7.2
PT,1988-10,6.4
BE,1988-11,8.4
ES,1988-11,17.7
IT,1988-11,10.0
NL,1988-11,7.2
BE,1988-11,8.2
ES,1988-11,17.7
FR,1988-11,8.8
IT,1988-11,9.8
NL,1988-11,7.2
PT,1988-11,6.4
BE,1988-11,8.2
ES,1988-11,17.7
IT,1988-11,9.8
NL,1988-11,7.2
PT,1988-11,6.4
BE,1988-12,8.2
ES,1988-12,17.6
IT,1988-12,9.9
NL,1988-12,6.7
BE,1988-12,8.1
ES,1988-12,17.6
FR,1988-12,8.8
IT,1988-12,9.8
NL,1988-12,7.1
PT,1988-12,6.3
BE,1988-12,8.1
ES,1988-12,17.6
IT,1988-12,9.8
NL,1988-12,7.1
PT,1988-12,6.4
BE,1989-01,8.1
ES,1989-01,17.8
IT,1989-01,10.0
NL,1989-01,7.4
BE,1989-01,7.9
ES,1989-01,17.5
FR,1989-01,8.8
IT,1989-01,9.8
NL,1989-01,7.1
PT,1989-01,6.2
BE,1989-01,7.9
ES,1989-01,17.5
IT,1989-01,9.8
NL,1989-01,7.1
PT,1989-01,6.2
BE,1989-02,7.9
ES,1989-02,17.6
IT,1989-02,10.0
NL,1989-02,7.5
BE,1989-02,7.8
ES,1989-02,17.3
FR,1989-02,8.7
IT,1989-02,9.8
NL,1989-02,7.0
PT,1989-02,6.2
BE,1989-02,7.8
ES,1989-02,17.3
IT,1989-02,9.8
NL,1989-02,7.0
PT,1989-02,6.2
BE,1989-03,7.6
ES,1989-03,17.4
IT,1989-03,9.9
NL,1989-03,7.5
BE,1989-03,7.7
ES,1989-03,17.1
FR,1989-03,8.7
IT,1989-03,9.8
NL,1989-03,6.9
PT,1989-03,6.2
BE,1989-03,7.7
ES,1989-03,17.1
IT,1989-03,9.8
NL,1989-03,6.9
PT,1989-03,6.2
BE,1989-04,7.3
ES,1989-04,17.0
IT,1989-04,9.7
NL,1989-04,6.9
BE,1989-04,7.6
ES,1989-04,16.9
FR,1989-04,8.7
IT,1989-04,9.8
NL,1989-04,6.9
PT,1989-04,6.1
BE,1989-04,7.6
ES,1989-04,16.9
IT,1989-04,9.8
NL,1989-04,6.9
PT,1989-04,6.1
BE,1989-05,7.0
ES,1989-05,16.5
IT,1989-05,9.8
NL,1989-05,6.7
BE,1989-05,7.5
ES,1989-05,16.7
FR,1989-05,8.7
IT,1989-05,9.8
NL,1989-05,6.8
PT,1989-05,6.0
BE,1989-05,7.5
ES,1989-05,16.7
IT,1989-05,9.8
NL,1989-05,6.8
PT,1989-05,6.1
